frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
1;1;1;1;2431.801346;2431.803767;2431.820382;784142;784142;784142;0;0;19604;19604;12546272;12546312;100.000;755.319;755.319;3011.115;3698.029;3011.115;16.599;3.652;4.048;16.615;0.000;16.615;24.364;100.000;2.422;16.615;0.000;0.000;0.000;0;0;0;0;0;0;0;0
2;1;1;1;2431.833824;2431.836669;2431.855507;783406;783406;783406;0;0;19586;19586;12534496;12534536;100.000;665.431;665.431;3008.289;3694.572;3008.289;18.834;3.803;4.212;35.124;16.286;18.838;22.358;53.632;2.845;18.406;32.901;0.432;0.027;0;0;0;0;0;0;0;0
3;1;1;1;2431.867851;2431.870584;2431.891907;780200;780200;780200;0;0;19505;19505;12483200;12483240;100.000;585.662;585.662;2995.978;3679.423;2995.978;21.321;5.521;6.053;36.400;15.077;21.323;28.387;58.580;2.733;21.473;33.915;0.582;0.062;0;0;0;0;0;0;0;0
4;1;1;1;2431.901236;2431.904718;2431.924811;778467;778467;778467;0;0;19462;19462;12455472;12455512;100.000;619.985;619.985;2989.323;3671.262;2989.323;20.087;6.966;7.599;32.904;12.811;20.093;37.817;61.065;3.482;21.043;34.135;0.801;0.108;0;0;0;0;0;0;0;0
5;1;1;1;2431.936084;2431.939369;2431.959937;776427;776427;776427;0;0;19411;19411;12422832;12422872;100.000;604.203;604.203;2981.489;3661.641;2981.489;20.563;4.881;5.376;35.126;14.558;20.568;26.139;58.554;3.285;22.836;34.651;1.318;0.183;0;0;0;0;0;0;0;0
6;1;1;1;2431.968612;2431.971415;2431.989151;774893;774893;774893;0;0;19373;19373;12398288;12398328;100.000;699.273;699.273;2975.599;3654.419;2975.599;17.733;3.967;4.381;29.214;11.478;17.737;24.701;60.712;2.802;18.717;32.045;1.288;0.253;0;0;0;0;0;0;0;0
7;1;1;1;2432.001769;2432.005233;2432.022426;775949;775949;775949;0;0;19399;19399;12415184;12415224;100.000;722.263;722.263;2979.654;3659.385;2979.654;17.187;5.044;5.638;33.274;16.082;17.192;32.794;51.669;3.464;18.659;33.819;0.486;0.267;0;0;0;0;0;0;0;0
8;1;1;1;2432.036520;2432.039705;2432.057724;775463;775463;775463;0;0;19387;19387;12407408;12407448;100.000;688.891;688.891;2977.788;3657.098;2977.788;18.015;3.964;4.360;35.298;17.279;18.019;24.194;51.048;3.185;20.623;34.472;1.138;0.322;0;0;0;0;0;0;0;0
9;1;1;1;2432.069281;2432.072669;2432.092159;775698;775698;775698;0;0;19393;19393;12411168;12411208;100.000;636.934;636.934;2978.690;3658.211;2978.690;19.485;4.832;5.291;34.435;14.945;19.491;27.147;56.601;3.387;21.726;32.964;0.370;0.325;0;0;0;0;0;0;0;0
10;1;1;1;2432.104279;2432.108059;2432.124155;778020;778020;778020;0;0;19451;19451;12448320;12448360;100.000;773.678;773.678;2987.606;3669.160;2987.606;16.093;3.671;4.054;31.995;15.900;16.095;25.186;50.306;3.780;20.387;35.391;2.057;0.433;0;0;0;0;0;0;0;0
11;1;1;1;2432.135996;2432.142091;2432.161597;778554;778554;778554;0;0;19464;19464;12456864;12456904;100.000;638.747;638.747;2989.657;3671.666;2989.657;19.496;5.201;5.677;37.442;17.936;19.506;29.101;52.097;6.095;24.496;34.032;0.698;0.449;0;0;0;0;0;0;0;0
12;1;1;1;2432.169534;2432.172574;2432.192462;779986;779986;779986;0;0;19500;19500;12479776;12479816;100.000;627.575;627.575;2995.156;3678.426;2995.156;19.882;6.908;7.538;30.865;10.977;19.888;37.901;64.435;3.040;22.028;30.483;2.850;0.599;0;0;0;0;0;0;0;0
13;1;1;1;2432.203184;2432.209558;2432.228909;780926;780926;780926;0;0;19524;19524;12494816;12494856;100.000;645.798;645.798;2998.765;3682.877;2998.765;19.345;5.602;6.111;36.447;17.096;19.351;31.581;53.093;6.374;25.142;36.984;3.651;0.790;0;0;0;0;0;0;0;0
14;1;1;1;2432.235363;2432.240376;2432.262577;782770;782770;782770;0;0;19570;19570;12524320;12524360;100.000;564.230;564.230;3005.846;3691.570;3005.846;22.194;6.914;7.546;33.668;11.467;22.201;33.990;65.942;5.013;25.477;30.818;2.516;0.898;0;0;0;0;0;0;0;0
15;1;1;1;2432.267632;2432.273108;2432.294512;784474;784474;784474;0;0;19612;19612;12551584;12551624;100.000;586.549;586.549;3012.390;3699.585;3012.390;21.398;7.338;7.980;31.934;10.531;21.403;37.286;67.023;5.477;24.078;32.732;0.601;0.879;0;0;0;0;0;0;0;0
16;1;1;1;2432.303116;2432.307344;2432.329137;785193;785193;785193;0;0;19630;19630;12563088;12563128;100.000;576.556;576.556;3015.151;3702.976;3015.151;21.770;6.031;6.549;34.625;12.832;21.793;30.051;62.939;4.228;25.369;34.236;0.902;0.881;0;0;0;0;0;0;0;0
17;1;1;1;2432.334274;2432.337125;2432.361488;782720;782720;782720;0;0;19568;19568;12523520;12523560;100.000;514.192;514.192;3005.654;3691.308;3005.654;24.359;7.397;7.943;32.351;7.989;24.363;32.603;75.307;2.851;24.387;29.781;3.552;1.048;0;0;0;0;0;0;0;0
18;1;1;1;2432.368487;2432.371476;2432.395817;781613;781613;781613;0;0;19541;19541;12505808;12505848;100.000;513.968;513.968;3001.404;3686.111;3001.404;24.338;7.472;8.062;34.330;9.988;24.341;33.121;70.904;2.989;25.383;34.351;1.018;1.046;0;0;0;0;0;0;0;0
19;1;1;1;2432.400939;2432.404304;2432.427688;780006;780006;780006;0;0;19501;19501;12480096;12480136;100.000;533.903;533.903;2995.233;3678.538;2995.233;23.380;6.790;7.324;31.870;8.487;23.383;31.322;73.370;3.366;23.920;32.828;0.505;1.012;0;0;0;0;0;0;0;0
20;1;1;1;2432.434841;2432.437572;2432.456390;780302;780302;780302;0;0;19508;19508;12484832;12484872;100.000;663.762;663.762;2996.369;3679.920;2996.369;18.816;4.538;4.967;28.703;9.884;18.819;26.392;65.565;2.731;19.290;33.267;0.066;0.953;0;0;0;0;0;0;0;0
21;1;1;1;2432.468797;2432.472119;2432.494876;779066;779066;779066;0;0;19477;19477;12465056;12465096;100.000;547.932;547.932;2991.623;3674.088;2991.623;22.755;4.885;5.318;38.486;15.728;22.758;23.370;59.133;3.321;24.443;34.547;1.214;0.969;0;0;0;0;0;0;0;0
22;1;1;1;2432.502008;2432.505234;2432.525450;778280;778280;778280;0;0;19457;19457;12452480;12452520;100.000;616.119;616.119;2988.605;3670.368;2988.605;20.214;5.228;5.665;30.574;10.358;20.216;28.022;66.123;3.226;21.683;33.115;0.218;0.922;0;0;0;0;0;0;0;0
23;1;1;1;2432.535709;2432.539148;2432.558338;778907;778907;778907;0;0;19473;19473;12462512;12462552;100.000;649.702;649.702;2991.012;3673.337;2991.012;19.187;4.220;4.628;32.887;13.698;19.190;24.118;58.350;3.439;21.237;33.914;0.581;0.901;0;0;0;0;0;0;0;0
24;1;1;1;2432.569938;2432.573163;2432.594487;779289;779289;779289;0;0;19483;19483;12468624;12468664;100.000;585.060;585.060;2992.479;3675.154;2992.479;21.321;4.334;4.748;36.150;14.825;21.324;22.264;58.989;3.225;24.053;34.015;0.682;0.887;0;0;0;0;0;0;0;0
25;1;1;1;2432.602106;2432.605339;2432.626827;779739;779739;779739;0;0;19494;19494;12475824;12475864;100.000;580.740;580.740;2994.207;3677.268;2994.207;21.483;6.018;6.502;32.339;10.851;21.488;30.257;66.445;3.233;23.059;32.176;1.158;0.904;0;0;0;0;0;0;0;0
26;1;1;1;2432.636641;2432.640108;2432.657638;779364;779364;779364;0;0;19485;19485;12469824;12469864;100.000;711.788;711.788;2992.767;3675.512;2992.767;17.527;4.137;4.559;30.811;13.281;17.530;26.009;56.894;3.467;20.537;34.769;1.436;0.937;0;0;0;0;0;0;0;0
27;1;1;1;2432.670990;2432.674144;2432.695228;780025;780025;780025;0;0;19501;19501;12480400;12480440;100.000;592.218;592.218;2995.306;3678.611;2995.306;21.080;4.223;4.631;37.590;16.506;21.084;21.964;56.089;3.153;24.794;34.036;0.703;0.923;0;0;0;0;0;0;0;0
28;1;1;1;2432.701823;2432.705702;2432.726227;780373;780373;780373;0;0;19510;19510;12485968;12486008;100.000;608.704;608.704;2996.642;3680.263;2996.642;20.518;5.728;6.215;30.999;10.474;20.525;30.278;66.211;3.879;22.460;31.558;1.775;0.976;0;0;0;0;0;0;0;0
29;1;1;1;2432.737131;2432.740599;2432.757859;781651;781651;781651;0;0;19542;19542;12506416;12506456;100.000;725.028;725.028;3001.549;3686.292;3001.549;17.257;4.170;4.582;31.632;14.372;17.260;26.545;54.565;3.469;20.759;34.897;1.564;1.013;0;0;0;0;0;0;0;0
30;1;1;1;2432.770638;2432.773855;2432.794682;781375;781375;781375;0;0;19535;19535;12502000;12502040;100.000;600.548;600.548;3000.490;3684.986;3000.490;20.823;4.460;4.873;36.822;15.996;20.826;23.400;56.559;3.217;24.248;33.256;0.077;0.954;0;0;0;0;0;0;0;0
31;1;1;1;2432.801603;2432.804945;2432.825665;784392;784392;784392;0;0;19610;19610;12550272;12550312;100.000;606.048;606.048;3012.075;3699.200;3012.075;20.715;5.984;6.495;30.984;10.263;20.721;31.346;66.876;3.342;21.898;31.089;2.244;1.035;0;0;0;0;0;0;0;0
32;1;1;1;2432.836768;2432.840373;2432.856918;782671;782671;782671;0;0;19567;19567;12522736;12522776;100.000;757.157;757.157;3005.466;3691.084;3005.466;16.533;4.108;4.521;31.252;14.708;16.545;27.325;52.939;3.605;19.817;35.428;2.095;1.101;0;0;0;0;0;0;0;0
33;1;1;1;2432.870840;2432.874189;2432.895124;776999;776999;776999;0;0;19425;19425;12431984;12432024;100.000;594.022;594.022;2983.686;3664.328;2983.686;20.931;4.347;4.738;38.206;17.271;20.936;22.632;54.796;3.349;24.690;33.816;0.482;1.062;0;0;0;0;0;0;0;0
34;1;1;1;2432.901678;2432.905113;2432.925447;778650;778650;778650;0;0;19467;19467;12458400;12458440;100.000;612.880;612.880;2990.026;3672.140;2990.026;20.328;5.574;6.052;30.323;9.989;20.334;29.762;67.058;3.435;21.680;30.924;2.409;1.147;0;0;0;0;0;0;0;0
35;1;1;1;2432.937784;2432.941319;2432.958534;778007;778007;778007;0;0;19451;19451;12448112;12448152;100.000;723.610;723.610;2987.556;3669.110;2987.556;17.212;3.927;4.335;33.087;15.871;17.215;25.180;52.031;3.535;21.433;36.206;2.872;1.254;0;0;0;0;0;0;0;0
36;1;1;1;2432.970794;2432.974268;2432.994701;776483;776483;776483;0;0;19413;19413;12423728;12423768;100.000;608.557;608.557;2981.704;3661.926;2981.704;20.428;4.305;4.710;36.167;15.734;20.433;23.052;56.497;3.474;24.267;32.949;0.384;1.200;0;0;0;0;0;0;0;0
37;1;1;1;2433.001979;2433.005840;2433.027446;781287;781287;781287;0;0;19533;19533;12500592;12500632;100.000;578.769;578.769;3000.152;3684.578;3000.152;21.602;6.316;6.838;32.746;11.139;21.606;31.646;65.982;3.862;23.679;31.572;1.761;1.235;0;0;0;0;0;0;0;0
38;1;1;1;2433.037545;2433.041679;2433.058612;780329;780329;780329;0;0;19509;19509;12485264;12485304;100.000;737.589;737.589;2996.473;3680.059;2996.473;16.930;4.169;4.592;31.165;14.233;16.932;27.120;54.331;4.134;21.511;35.839;2.506;1.315;0;0;0;0;0;0;0;0
39;1;1;1;2433.070191;2433.074868;2433.095382;780785;780785;780785;0;0;19520;19520;12492560;12492600;100.000;609.431;609.431;2998.224;3682.195;2998.224;20.507;4.834;5.260;36.771;16.257;20.514;25.643;55.789;4.677;24.948;33.189;0.144;1.241;0;0;0;0;0;0;0;0
40;1;1;1;2433.102266;2433.106283;2433.126657;785430;785430;785430;0;0;19636;19636;12566880;12566920;100.000;617.145;617.145;3016.061;3704.097;3016.061;20.367;5.831;6.350;31.274;10.901;20.374;31.169;65.145;4.017;22.889;31.414;1.919;1.284;0;0;0;0;0;0;0;0
41;1;1;1;2433.136628;2433.141707;2433.159073;789479;789479;789479;0;0;19737;19737;12631664;12631704;100.000;727.643;727.643;3031.609;3723.184;3031.609;17.363;4.107;4.515;32.416;15.051;17.365;25.997;53.570;5.079;21.972;35.425;2.091;1.334;0;0;0;0;0;0;0;0
42;1;1;1;2433.170457;2433.175586;2433.196009;789348;789348;789348;0;0;19734;19734;12629568;12629608;100.000;618.785;618.785;3031.106;3722.576;3031.106;20.416;5.052;5.523;36.936;16.513;20.423;27.043;55.292;5.129;25.575;33.879;0.545;1.285;0;0;0;0;0;0;0;0
43;1;1;1;2433.203252;2433.207797;2433.229953;792714;792714;792714;0;0;19818;19818;12683424;12683464;100.000;572.628;572.628;3044.031;3738.444;3044.031;22.150;6.671;7.203;33.944;11.788;22.156;32.510;65.273;4.545;26.186;32.211;1.123;1.275;0;0;0;0;0;0;0;0
